ID,Type,Price,Quantity,Timestamp
1,V,76.39,570,2026-06-23 20:38:37
2,V,19.0,580,2026-06-23 20:38:40
3,C,88.5,250,2026-06-23 20:38:42
4,V,80.55,830,2026-06-23 20:38:44
5,V,33.68,710,2026-06-23 20:38:48
6,C,98.81,150,2026-06-23 20:38:53
7,V,10.59,50,2026-06-23 20:38:57
8,V,66.57,290,2026-06-23 20:39:02
9,V,93.36,840,2026-06-23 20:39:05
10,C,63.86,710,2026-06-23 20:39:06
11,C,75.63,160,2026-06-23 20:39:07
12,C,28.54,890,2026-06-23 20:39:09
13,C,84.26,940,2026-06-23 20:39:10
14,C,33.19,40,2026-06-23 20:39:11
15,V,15.88,560,2026-06-23 20:39:14
16,C,16.02,780,2026-06-23 20:39:17
17,V,17.74,590,2026-06-23 20:39:19
18,V,63.89,930,2026-06-23 20:39:24
19,V,24.02,810,2026-06-23 20:39:25
20,V,77.53,800,2026-06-23 20:39:27
21,C,89.73,860,2026-06-23 20:39:29
22,V,27.32,650,2026-06-23 20:39:30
23,V,75.33,260,2026-06-23 20:39:34
24,V,86.09,680,2026-06-23 20:39:36
25,V,33.96,150,2026-06-23 20:39:39
26,V,47.06,690,2026-06-23 20:39:42
27,C,72.09,840,2026-06-23 20:39:47
28,V,79.59,140,2026-06-23 20:39:50
29,V,34.45,410,2026-06-23 20:39:52
30,V,28.2,200,2026-06-23 20:39:56
31,C,62.3,630,2026-06-23 20:39:59
32,V,72.98,560,2026-06-23 20:40:03
33,V,52.62,800,2026-06-23 20:40:07
34,V,39.21,680,2026-06-23 20:40:11
35,V,93.6,70,2026-06-23 20:40:16
36,V,28.62,890,2026-06-23 20:40:18
37,V,31.22,220,2026-06-23 20:40:21
38,V,40.69,170,2026-06-23 20:40:25
39,C,30.77,850,2026-06-23 20:40:30
40,V,33.42,610,2026-06-23 20:40:35
41,C,93.52,290,2026-06-23 20:40:36
42,C,28.71,520,2026-06-23 20:40:38
43,C,59.9,30,2026-06-23 20:40:40
44,C,92.17,660,2026-06-23 20:40:44
45,V,67.9,110,2026-06-23 20:40:45
46,C,77.45,740,2026-06-23 20:40:50
47,C,78.16,860,2026-06-23 20:40:54
48,C,71.09,300,2026-06-23 20:40:55
49,C,90.82,780,2026-06-23 20:40:58
50,V,80.6,310,2026-06-23 20:41:03
51,C,50.67,960,2026-06-23 20:41:06
52,C,89.71,750,2026-06-23 20:41:07
53,V,72.57,930,2026-06-23 20:41:11
54,V,17.16,670,2026-06-23 20:41:12
55,V,89.93,670,2026-06-23 20:41:16
56,C,29.19,960,2026-06-23 20:41:19
57,V,45.18,370,2026-06-23 20:41:21
58,C,24.15,890,2026-06-23 20:41:24
59,V,22.43,730,2026-06-23 20:41:26
60,V,19.36,630,2026-06-23 20:41:28
61,V,98.07,640,2026-06-23 20:41:30
62,V,37.14,210,2026-06-23 20:41:32
63,V,24.76,400,2026-06-23 20:41:35
64,V,93.16,320,2026-06-23 20:41:40
65,V,84.41,870,2026-06-23 20:41:41
66,V,18.33,630,2026-06-23 20:41:46
67,V,10.82,80,2026-06-23 20:41:50
68,V,51.91,770,2026-06-23 20:41:53
69,C,90.95,230,2026-06-23 20:41:57
70,V,69.4,960,2026-06-23 20:42:02
71,C,82.23,250,2026-06-23 20:42:06
72,V,21.54,230,2026-06-23 20:42:08
73,V,48.82,710,2026-06-23 20:42:11
74,C,95.14,420,2026-06-23 20:42:14
75,V,42.97,180,2026-06-23 20:42:17
76,C,26.15,800,2026-06-23 20:42:18
77,C,72.6,580,2026-06-23 20:42:21
78,V,33.89,970,2026-06-23 20:42:24
79,C,85.66,290,2026-06-23 20:42:29
80,V,83.61,210,2026-06-23 20:42:34
81,C,93.16,70,2026-06-23 20:42:39
82,V,90.89,740,2026-06-23 20:42:42
83,C,35.7,780,2026-06-23 20:42:46
84,C,74.69,410,2026-06-23 20:42:48
85,V,62.6,720,2026-06-23 20:42:52
86,V,85.64,100,2026-06-23 20:42:57
87,C,46.94,610,2026-06-23 20:42:59
88,V,30.41,910,2026-06-23 20:43:03
89,C,32.91,40,2026-06-23 20:43:07
90,V,88.94,390,2026-06-23 20:43:08
91,C,19.22,150,2026-06-23 20:43:11
92,C,96.25,740,2026-06-23 20:43:12
93,V,85.02,250,2026-06-23 20:43:13
94,C,72.44,300,2026-06-23 20:43:17
95,V,84.97,960,2026-06-23 20:43:18
96,V,56.14,280,2026-06-23 20:43:21
97,V,20.66,430,2026-06-23 20:43:23
98,C,88.92,90,2026-06-23 20:43:26
99,C,38.36,50,2026-06-23 20:43:29
100,V,54.92,740,2026-06-23 20:43:32
